Country,Observation_Year,CovidPeriod,Online_Learning_Users (%),Average_Screen_Time (Hours),DeviceUsage(%),Preferred_Learning_Platform
Germany,2023,After,62,4.3,60-30-10,Tencent Classroom
Italy,2021,During,34,5.0,60-30-10,Tencent Classroom
France,2021,During,52,0.9,60-30-10,Udemy
France,2021,During,71,2.1,60-30-10,Alura
Australia,2024,After,80,2.5,60-30-10,Coursera
Italy,2019,Before,90,2.7,60-30-10,Skillshare
Germany,2024,After,35,0.7,60-30-10,LinkedIn Learning
France,2022,After,46,3.9,60-30-10,Udemy
Italy,2021,During,72,1.6,60-30-10,Udemy
China,2024,After,54,2.9,60-30-10,OpenLearning
Mexico,2021,During,43,5.1,60-30-10,Coursera
Germany,2021,During,44,1.2,60-30-10,Tencent Classroom
Australia,2023,After,23,0.8,60-30-10,LinkedIn Learning
Mexico,2017,Before,32,N/A,60-30-10,LinkedIn Learning
Mexico,2020,During,24,5.1,60-30-10,FutureLearn
Japan,2023,After,10,3.8,60-30-10,Tencent Classroom
Russia,2019,Before,68,4.2,60-30-10,Alura
China,2021,During,48,5.0,60-30-10,Tencent Classroom
Italy,2024,After,22,2.9,60-30-10,Skillshare
Italy,2022,After,44,5.1,60-30-10,LinkedIn Learning
Australia,2024,After,10,1.1,60-30-10,Udemy
UK,2018,Before,61,2.7,60-30-10,LinkedIn Learning
Brazil,2022,After,72,4.7,60-30-10,OpenLearning
China,2017,Before,72,3.5,60-30-10,FutureLearn
China,2024,After,15,1.2,60-30-10,Unacademy
France,2022,After,28,0.6,60-30-10,Alura
Australia,2019,Before,65,4.2,60-30-10,Udemy
Australia,2022,After,69,2.9,60-30-10,Alura
France,2024,After,23,3.9,60-30-10,Alura
Brazil,2020,During,72,2.2,60-30-10,Skillshare
Brazil,2024,After,75,1.4,60-30-10,Tencent Classroom
Mexico,2021,During,56,5.1,60-30-10,FutureLearn
Russia,2021,During,27,1.2,60-30-10,Unacademy
Japan,2019,Before,18,5.0,60-30-10,Unacademy
South Korea,2018,Before,53,2.0,60-30-10,LinkedIn Learning
UK,2024,After,54,1.7,60-30-10,Alura
Brazil,2023,After,66,5.2,60-30-10,FutureLearn
Brazil,2017,Before,89,4.6,60-30-10,FutureLearn
Italy,2019,Before,65,1.8,60-30-10,Unacademy
China,2022,After,83,3.2,60-30-10,Tencent Classroom
UK,2020,During,59,5.3,60-30-10,Skillshare
UK,2020,During,67,1.4,60-30-10,Skillshare
Mexico,2021,During,23,2.9,60-30-10,LinkedIn Learning
Brazil,2024,After,54,2.4,60-30-10,Skillshare
Japan,2023,After,N/A,3.0,60-30-10,Udemy
Brazil,2020,During,51,0.6,60-30-10,Tencent Classroom
Russia,2020,During,77,4.9,60-30-10,Coursera
South Korea,2020,During,29,5.0,40-50-10,Udemy
Russia,2023,After,76,2.9,60-30-10,Skillshare
Mexico,2023,After,40,4.3,60-30-10,Alura
Russia,2019,Before,44,1.7,60-30-10,Alura
Brazil,2018,Before,90,4.7,60-30-10,OpenLearning
China,2020,During,14,3.1,60-30-10,FutureLearn
Japan,2019,Before,30,3.0,60-30-10,OpenLearning
South Korea,2018,Before,56,1.6,60-30-10,Skillshare
Brazil,2024,After,16,1.9,60-30-10,Tencent Classroom
France,2020,During,59,3.0,60-30-10,Skillshare
Germany,2024,After,87,4.7,60-30-10,Udemy
Russia,2019,Before,28,3.3,60-30-10,OpenLearning
Germany,2022,After,44,3.6,60-30-10,OpenLearning
Australia,2022,After,46,4.4,60-30-10,FutureLearn
China,2020,During,77,2.7,60-30-10,Udemy
Australia,2021,During,45,5.0,60-30-10,OpenLearning
France,2021,During,60,1.5,60-30-10,Udemy
Germany,2022,After,49,1.9,60-30-10,Coursera
Italy,2024,After,53,4.7,60-30-10,Coursera
France,2024,After,73,3.7,60-30-10,Tencent Classroom
